author,usernames,title,author_url,url
Benjamin Boyce,benjaminboyce,Accidental* QAnon Interview (2020),,https://www.bitchute.com/video/EuuzTkedQLg/
NurLogic,nurlogic,QAnon: Young Pharaoh's Satanic Ritual,,https://www.bitchute.com/video/KCgy0yhl17rl/
Aga Qubica Media,agaqubicamedia,QAnon w MSM!,,https://www.bitchute.com/video/LMPKxdX89Jzk/
PCS,pcs,QANON EXPOSED ❗,,https://www.bitchute.com/video/PVA93M8fD8vP/
Exposing Corruption,exposingcorruption,QAnon Soundtrack:  FEARLESS,,https://www.bitchute.com/video/H9jqbYAQVw7U/
wertyuiop,biblicalqanon,"60 Deep truths, Jesus, Humility, Qanon",,https://www.bitchute.com/video/rtXHRcAEY5tz/
dune.wtf,dunewtf,The conspiracy guy -  Qanon,,https://www.bitchute.com/video/X6cqtCopgCOC/
Hippie Buff Mom,hippie-buff-mom,"TRUMP, QANON AND GESARA",,https://www.bitchute.com/video/X9wadtAwSlgk/
Destroying The Illusion,destroyingtheillusion,"Ginni Thomas ""QAnon"" Attacks Explained",,https://www.bitchute.com/video/YT2sCubgRq7a/
POSEIDON,poseidon,Qanon: Dangerous Cult [Part 1],,https://www.bitchute.com/video/NkHU01J_bCc/
Exposing Corruption,exposingcorruption,QAnon Soundtrack:  SAVE THE CHILDREN,,https://www.bitchute.com/video/NfWILz9Oocz1/
Exposing Corruption,exposingcorruption,"What is this ""QAnon"" BULLSHIT?",,https://www.bitchute.com/video/QQFzm5xfshpg/
Eddy English,eddy-english,IMPORTANT MESSAGE From Anonymous QAnon Resistance,,https://www.bitchute.com/video/rZ33SwPWVB2F/
Exposing Corruption,exposingcorruption,QAnon Soundtrack - Have a Cigar - 43,,https://www.bitchute.com/video/pc3Jv1N5Ausu/
No Nonsense News,no_nonsense_news,Om Trump og Qanon - en nøtteskallsversjon,,https://www.bitchute.com/video/WrM4YWt47XYV/
GreatAwakening.World,worldawakening,IMPORTANT MESSAGE From Anonymous QAnon Resistance,,https://www.bitchute.com/video/RcmJ3mBEkqv3/
wertyuiop,biblicalqanon,"60 Deep truths, Jesus, Humility, Qanon",,https://www.bitchute.com/video/rtXHRcAEY5tz/
JQRCcode,qrc,Qanon To Be Proven A Psy_OP - 4/1/2020 - Dr.Chuck Baldwin,,https://www.bitchute.com/video/j5RIc6oLsz67/
Breitbart,breitbart,"Dick Durbin: Highlighting KBJ’s Lax Child Porn Sentences Plays to ""QAnon Crowd""",,https://www.bitchute.com/video/tLxDzQ0e-_4/
Right Wing Watch Fan,rightwingwatchfan,RWW News: QAnon 'Prophet' Johnny Enlow Prayed Over and 'Commissioned' Three GOP Candidates,,https://www.bitchute.com/video/lpgyxvwbAxo/
The David Pakman Show,davidpakmanshow,Almost 20% of Americans Believe in QAnon Conspiracies #shorts,,https://rumble.com/v1180p2-almost-20-of-americans-believe-in-qanon-conspiracies-shorts.html
The David Pakman Show,davidpakmanshow,Almost 20% of Americans Believe in QAnon Conspiracies #shorts,,https://rumble.com/v1180p2-almost-20-of-americans-believe-in-qanon-conspiracies-shorts.html
Video News,VideoNews,GREENE REVIVES QANON SMEAR IN ATTACK ON GOP SENATORS BACKING JACKSON'S SCOTUS NOMINATION,,https://rumble.com/v102ae0-greene-revives-qanon-smear-in-attack-on-gop-senators-backing-jacksons-scotu.html
